Task,Ground_Size,Seed,Algorithm,Strategy,Local_Search,Heuristic,Sorting,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
adult,111,0,EfficientBFS,density_gap,False,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,30.59285855293274,9,1,5
adult,111,0,EfficientBFS,density_gap,True,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,30.303550004959106,9,1,5
adult,111,0,EfficientBFS,probing,False,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,32.566197633743286,5,1,5
adult,111,0,EfficientBFS,probing,True,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,31.478157997131348,5,1,5
adult,111,0,EfficientBFS,traditional,False,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,31.19217824935913,9,1,5
adult,111,0,EfficientBFS,traditional,True,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,30.152597904205322,9,1,5
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,42.95990753173828,7,1,5
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,41.685344219207764,7,1,5
adult,111,0,EfficientBFS,density_gap,False,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,66.13372850418091,30,1,6
adult,111,0,EfficientBFS,density_gap,True,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,66.86342787742615,30,1,6
adult,111,0,EfficientBFS,probing,False,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,89.00540566444397,28,1,6
adult,111,0,EfficientBFS,probing,True,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,94.73136281967163,28,1,6
adult,111,0,EfficientBFS,traditional,False,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,62.5971519947052,30,1,6
adult,111,0,EfficientBFS,traditional,True,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,65.39956903457642,30,1,6
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,177.2584240436554,59,1,6
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,187.51902770996094,59,1,6
adult,111,0,EfficientBFS,density_gap,False,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,71.08887457847595,21,1,6
adult,111,0,EfficientBFS,density_gap,True,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,73.69014430046082,21,1,6
adult,111,0,EfficientBFS,probing,False,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,95.42247176170349,13,1,6
adult,111,0,EfficientBFS,probing,True,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,94.80803227424622,13,1,6
adult,111,0,EfficientBFS,traditional,False,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,70.90799617767334,21,1,6
adult,111,0,EfficientBFS,traditional,True,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,70.49618601799011,21,1,6
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,204.82447218894958,27,1,6
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,216.89614510536194,27,1,6
adult,111,0,EfficientBFS,density_gap,False,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,185.10164833068848,56,1,7
adult,111,0,EfficientBFS,density_gap,True,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,185.37269926071167,56,1,7
adult,111,0,EfficientBFS,probing,False,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,238.57361316680908,35,1,7
adult,111,0,EfficientBFS,probing,True,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,238.7322747707367,35,1,7
adult,111,0,EfficientBFS,traditional,False,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,177.87511229515076,56,1,7
adult,111,0,EfficientBFS,traditional,True,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,173.91830158233643,56,1,7
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,759.2847962379456,127,1,7
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,760.1425893306732,127,1,7
adult,111,0,EfficientBFS,density_gap,False,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,16.137447595596313,1,1,7
adult,111,0,EfficientBFS,density_gap,True,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,16.44459843635559,1,1,7
adult,111,0,EfficientBFS,probing,False,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,16.321569204330444,1,1,7
adult,111,0,EfficientBFS,probing,True,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,15.989813566207886,1,1,7
adult,111,0,EfficientBFS,traditional,False,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,16.12581157684326,1,1,7
adult,111,0,EfficientBFS,traditional,True,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,16.26763677597046,1,1,7
