task,n,AF,algorithm,budget,heuristic,sorting,node_count,open_list_count,computational_time,f_S
AdultIncomeFeatureSelection,111,0.95,BFSTC,6,ub0,d,1568,5197,5000.833888,7.206554549
AdultIncomeFeatureSelection,111,0.95,EfficientBFS,6,ub2,d,9,15,31.52483988,7.206554549
AdultIncomeFeatureSelection,111,0.95,BFSTC,7,ub0,d,100,7659,5000.152347,7.206554549
AdultIncomeFeatureSelection,111,0.95,EfficientBFS,7,ub2,d,41,53,81.88755035,7.206554549
AdultIncomeFeatureSelection,111,0.95,BFSTC,8,ub0,d,79,7741,5000.001331,8.120308338
AdultIncomeFeatureSelection,111,0.95,EfficientBFS,8,ub2,d,27,41,91.94501519,8.120308338
AdultIncomeFeatureSelection,111,0.95,BFSTC,9,ub0,d,72,7663,5000.611025,8.270787166
AdultIncomeFeatureSelection,111,0.95,EfficientBFS,9,ub2,d,80,101,249.9235411,8.270787166
AdultIncomeFeatureSelection,111,0.95,BFSTC,10,ub0,d,71,7565,5000.339028,8.655822628
AdultIncomeFeatureSelection,111,0.95,EfficientBFS,10,ub2,d,100,131,437.3049111,8.655822628
AdultIncomeFeatureSelection,111,0.95,BFSTC,11,ub0,d,70,7472,5000.696333,8.783987101
AdultIncomeFeatureSelection,111,0.95,EfficientBFS,11,ub2,d,1,1,19.68697238,8.783987101
AdultIncomeFeatureSelection,111,0.95,BFSTC,12,ub0,d,67,7166,5000.043501,8.978068311
AdultIncomeFeatureSelection,111,0.95,EfficientBFS,12,ub2,d,1,1,19.92656255,8.978068311
AdultIncomeFeatureSelection,111,0.95,BFSTC,13,ub0,d,63,6767,5000.481325,9.043985049
AdultIncomeFeatureSelection,111,0.95,EfficientBFS,13,ub2,d,1,1,21.16538119,9.043985049
AdultIncomeFeatureSelection,111,0.95,BFSTC,14,ub0,d,60,6342,5000.42738,9.154888598
AdultIncomeFeatureSelection,111,0.95,EfficientBFS,14,ub2,d,1,1,20.35367537,9.154888598
AdultIncomeFeatureSelection,111,0.95,BFSTC,15,ub0,d,55,5806,5000.388266,9.154888598
AdultIncomeFeatureSelection,111,0.95,EfficientBFS,15,ub2,d,1,1,21.37697005,9.154888598
CalTechMaximization,767,0.95,EfficientBFS,6,ub2,d,10,11,710.087795,334.68603
CalTechMaximization,767,0.95,EfficientBFS,7,ub2,d,11,11,758.6822929,351.6620969
CalTechMaximization,767,0.95,EfficientBFS,8,ub2,d,12,13,862.1371663,419.775944
CalTechMaximization,767,0.95,EfficientBFS,9,ub2,d,13,15,928.6951804,466.3494156
CalTechMaximization,767,0.95,EfficientBFS,10,ub2,d,14,17,1021.497961,506.0819016
CalTechMaximization,767,0.95,EfficientBFS,11,ub2,d,16,19,1141.807202,540.2370492
CalTechMaximization,767,0.95,EfficientBFS,12,ub2,d,18,19,1343.703936,555.6315072
