task,algorithm,budget,heuristic,sorting,node_count,open_list_count,computational_time,f_S,seed,n
FacebookGraphCoverage,BFSTC,6.0,ub0,d,29,5900,5000.715343236923,307,0,1000
FacebookGraphCoverage,Efficient,6.0,ub0,d,4957,0,10000.549379110336,307,0,1000
FacebookGraphCoverage,EfficientBFS,6.0,ub2,d,13,23,20.858057975769043,307,0,1000
FacebookGraphCoverage,BFSTC,7.0,ub0,d,991,3765,5000.783350944519,355,0,1000
FacebookGraphCoverage,Efficient,7.0,ub0,d,5334,0,10000.369371891022,335,0,1000
FacebookGraphCoverage,EfficientBFS,7.0,ub2,d,10,13,12.5044264793396,335,0,1000
FacebookGraphCoverage,BFSTC,8.0,ub0,d,8,4935,5000.2313096523285,366,0,1000
FacebookGraphCoverage,Efficient,8.0,ub0,d,5444,0,10000.208275794983,366,0,1000
FacebookGraphCoverage,EfficientBFS,8.0,ub2,d,13,17,20.487024545669556,366,0,1000
FacebookGraphCoverage,BFSTC,9.0,ub0,d,7,5010,5000.448041915894,390,0,1000
FacebookGraphCoverage,Efficient,9.0,ub0,d,5490,0,10000.000403404236,390,0,1000
FacebookGraphCoverage,EfficientBFS,9.0,ub2,d,15,21,27.464245080947876,390,0,1000
FacebookGraphCoverage,BFSTC,10.0,ub0,d,6,4974,5000.939079284668,411,0,1000
FacebookGraphCoverage,Efficient,10.0,ub0,d,4479,0,10000.044525623322,411,0,1000
FacebookGraphCoverage,EfficientBFS,10.0,ub2,d,15,21,29.620662212371826,411,0,1000
FacebookGraphCoverage,BFSTC,11.0,ub0,d,6,4705,5000.014950752258,429,0,1000
FacebookGraphCoverage,Efficient,11.0,ub0,d,4533,0,10000.600432157516,429,0,1000
FacebookGraphCoverage,EfficientBFS,11.0,ub2,d,16,23,35.85210061073303,429,0,1000
FacebookGraphCoverage,BFSTC,12.0,ub0,d,6,4663,5001.230336666107,441,0,1000
FacebookGraphCoverage,Efficient,12.0,ub0,d,4254,0,10000.167727947235,441,0,1000
FacebookGraphCoverage,EfficientBFS,12.0,ub2,d,30,39,70.420969247818,441,0,1000
FacebookGraphCoverage,BFSTC,13.0,ub0,d,6,4582,5000.616335868835,448,0,1000
FacebookGraphCoverage,Efficient,13.0,ub0,d,3678,0,10000.481321573257,448,0,1000
FacebookGraphCoverage,EfficientBFS,13.0,ub2,d,39,53,95.93084025382996,448,0,1000
FacebookGraphCoverage,BFSTC,14.0,ub0,d,6,4592,5001.754254579544,462,0,1000
